,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,QS
0,4,20,3,7,4.8,4,6,5.0,19,1,0,1,2,1,2,5,3,3,3,3.0,2.2,2.2,2.2,0,0,0,0,5,2,2,0,2.8,1.0,1.0,0.0,13,3,4,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,14,12,8,14,9,6,3,13,9,7,5,11,7,5,3,1
1,4,19,4,7,5.0,3,6,4.8,20,0,0,3,1,2,2,3,4,3,5,3.0,2.2,2.2,3.2,2,0,0,0,3,1,3,1,2.8,0.5,1.2,0.5,16,3,0,0,2,2,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,1,1,2,2,1,1,1,1,0,0,8,10,3,14,6,6,2,16,6,8,2,11,4,4,1,1
2,3,9,3,7,4.7,3,3,3.0,14,4,2,0,1,1,0,7,4,5,4,2.3,2.3,3.0,1.7,0,0,0,0,7,4,2,0,2.3,1.7,0.7,0.0,2,4,2,1,0,1,1,1,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5,1,5,1,3,0,2,0,1,0,1,0,1,0,0
3,2,6,5,5,5.0,2,4,3.0,10,0,0,2,0,0,2,3,3,3,3,2.5,1.5,1.5,2.5,2,0,0,0,3,2,2,1,2.5,1.0,1.0,0.5,5,1,0,0,1,1,0,0,2,1,1,1,1,0,0,2,2,1,1,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,4,2,1,4,3,0,0,5,3,2,1,3,2,0,0,1
4,4,9,3,4,3.8,2,3,2.2,15,2,2,2,0,0,1,4,2,3,2,3.0,1.0,1.5,1.2,2,0,0,0,4,1,0,1,3.0,0.2,0.0,0.5,6,1,0,2,2,0,0,2,4,3,3,3,3,2,2,4,4,3,3,3,3,2,2,4,1,1,0,0,0,0,2,2,1,1,0,0,0,0,6,3,1,4,1,2,0,6,4,2,1,3,1,1,0,1
5,3,13,4,6,5.0,4,5,4.3,15,0,0,3,2,1,2,4,5,4,3,3.3,3.3,2.7,2.7,0,0,0,0,4,2,4,1,2.3,0.7,1.3,0.7,12,1,0,0,2,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,1,0,1,0,2,2,0,0,0,0,0,0,7,8,3,5,2,3,1,12,7,7,3,4,2,2,1,1
6,4,17,3,6,4.5,2,7,4.2,18,1,1,1,2,1,1,5,2,4,4,3.0,2.0,2.5,2.5,1,0,0,0,5,1,2,0,2.8,0.5,1.2,0.0,12,4,0,1,0,3,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,2,0,0,0,0,0,0,0,0,9,10,4,11,7,6,4,12,5,7,2,7,4,3,2,1
7,4,18,3,5,4.0,3,6,4.5,16,1,0,0,1,1,1,3,3,3,3,1.5,2.0,1.8,2.5,0,0,0,0,3,2,3,1,1.5,1.0,1.2,0.2,14,4,0,0,1,3,0,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,1,3,2,2,1,1,1,0,0,0,0,0,0,7,11,3,11,5,6,2,14,5,8,2,7,3,3,1,1
8,4,22,4,5,4.5,3,8,5.5,18,2,1,2,0,1,1,4,3,4,5,2.8,2.0,3.2,2.8,0,0,1,0,4,1,4,0,2.2,0.2,2.0,0.0,14,8,0,0,0,4,0,0,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,1,1,4,3,1,1,0,0,0,0,0,0,0,0,11,12,4,16,9,8,3,14,6,8,2,8,4,4,1,1
9,2,7,4,6,5.0,3,4,3.5,10,0,0,2,3,1,2,2,3,4,4,2.0,3.0,2.5,3.0,2,1,0,0,2,3,1,1,2.0,2.0,0.5,0.5,6,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,5,5,3,4,3,2,1,6,4,4,2,3,2,1,0,1
10,2,10,3,5,4.0,4,6,5.0,8,0,0,1,2,1,2,2,3,2,3,1.5,2.5,1.5,2.5,1,1,0,0,2,3,1,0,1.5,2.0,0.5,0.0,6,3,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,7,8,5,6,3,5,2,6,4,4,2,3,1,2,0,1
11,5,17,4,7,5.0,2,5,3.4,25,3,3,1,1,1,0,5,5,4,5,3.2,2.0,2.6,2.2,0,0,0,0,5,5,4,2,2.2,1.4,0.8,0.6,13,2,1,1,2,1,1,1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,2,1,1,0,0,0,2,2,1,1,0,0,0,0,13,9,6,8,5,4,2,13,11,7,5,6,4,3,1,0
12,2,8,3,7,5.0,3,5,4.0,10,2,0,2,1,2,2,4,3,3,3,3.0,2.0,2.5,2.5,2,1,0,0,2,3,2,0,2.0,2.0,1.0,0.0,5,2,1,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,4,3,5,3,2,2,5,2,2,1,3,2,1,1,1
13,6,22,3,6,4.5,2,5,3.7,27,3,1,0,1,0,0,5,6,5,4,2.2,3.0,2.0,2.2,0,1,0,0,5,5,4,0,1.8,1.7,1.0,0.0,14,3,5,0,0,2,4,0,4,6,4,5,3,5,3,5,4,5,4,4,3,4,3,3,6,3,2,0,2,0,0,0,0,0,0,0,0,0,11,17,8,8,1,6,1,14,8,10,5,5,1,4,1,1
14,3,10,4,5,4.7,3,4,3.3,14,0,0,2,2,3,1,3,4,4,2,2.3,2.7,3.3,1.3,2,1,0,0,3,2,1,1,2.3,1.3,0.7,0.3,6,4,0,0,1,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,4,8,4,7,2,5,2,6,2,4,2,3,0,1,0,1
15,4,10,3,5,4.2,2,3,2.5,17,1,0,0,0,1,0,4,3,4,1,1.8,1.8,2.5,0.5,0,0,0,0,2,3,3,1,1.2,1.2,1.5,0.2,3,6,1,0,1,2,1,0,3,3,2,4,3,3,2,2,1,1,0,2,1,1,0,3,2,1,3,2,1,0,1,1,0,0,1,1,0,0,5,4,2,9,4,3,1,3,1,0,0,3,1,0,0,1
