,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]"
0,3,3,0,5,0,15
1,0,4,4,16,28,28
2,0,0,0,0,0,0
3,0,1,1,1,3,3
4,0,0,2,0,2,12
5,0,1,1,7,4,4
6,0,0,4,0,17,13
7,0,2,2,23,12,19
8,0,6,6,22,41,0
9,0,1,1,2,4,5
10,1,1,2,2,0,2
11,0,0,0,0,0,0
12,1,1,3,0,0,0
13,2,1,0,15,0,0
14,0,4,4,5,5,7
15,1,6,5,0,0,0
16,1,3,3,4,5,0
17,0,0,0,0,0,0
18,0,0,0,0,0,20
19,0,0,0,0,0,0
20,0,3,3,13,14,11
21,1,0,0,1,0,1
22,2,1,0,0,0,0
23,1,0,1,9,14,16
24,0,0,1,0,1,16
25,2,2,2,4,3,6
26,1,5,0,36,0,6
27,1,2,0,5,0,13
28,0,0,1,0,1,8
29,0,0,2,0,0,0
30,1,8,0,16,0,0
31,0,0,2,0,6,4
32,3,2,0,5,17,43
33,0,0,0,0,0,0
34,3,3,0,1,0,13
35,2,1,1,0,0,0
36,1,1,1,18,11,10
37,0,0,1,0,2,2
38,1,0,2,4,2,8
39,0,0,1,0,8,0
40,2,6,0,8,0,0
41,2,3,0,7,0,0
42,1,4,5,4,2,0
43,0,0,0,0,0,5
44,1,4,0,8,0,22
45,0,3,3,1,1,0
46,0,0,6,0,10,7
47,2,2,0,8,0,0
48,0,0,3,0,14,2
49,2,2,0,3,0,0
50,0,2,2,35,25,0
51,1,2,0,2,0,3
52,3,2,6,8,5,0
53,0,0,4,0,12,34
54,0,1,1,7,5,3
55,1,1,0,0,0,0
56,1,2,0,7,50,53
57,0,0,4,0,18,0
58,1,1,0,0,0,0
59,1,1,2,16,5,21
60,0,0,6,0,7,0
61,0,3,3,8,15,11
62,1,2,5,0,6,7
63,0,0,0,0,0,9
64,0,0,4,0,25,10
65,1,0,2,10,0,22
66,0,0,0,0,0,1
67,0,1,1,3,18,17
68,1,0,0,1,1,2
69,1,1,6,26,14,16
70,1,2,1,10,19,18
71,1,0,0,1,2,3
72,2,0,1,17,10,17
73,2,3,0,7,0,0
74,0,0,1,0,2,0
75,2,3,0,6,0,0
76,1,1,2,4,5,7
77,1,1,2,3,3,5
78,0,0,0,0,0,20
79,1,0,0,3,1,3
80,3,2,0,11,0,3
81,1,0,4,4,2,5
82,2,2,2,2,2,2
83,1,1,5,7,8,15
84,0,0,6,0,4,0
85,2,1,0,0,0,0
86,1,3,4,0,0,0
87,1,3,1,0,0,0
88,1,2,0,3,16,32
89,0,4,4,1,1,0
90,0,0,2,0,15,0
91,0,0,0,0,0,8
92,1,2,3,4,14,15
93,0,0,0,0,0,12
94,3,1,0,0,0,0
95,1,0,2,1,0,1
96,0,1,1,4,3,2
97,0,2,2,4,5,5
98,2,3,0,30,0,21
99,1,4,2,7,3,0
100,1,0,0,1,0,1
101,0,0,3,0,14,8
102,1,3,1,0,0,0
103,1,2,4,36,20,0
104,1,3,1,15,7,3
105,0,0,1,0,2,10
106,0,0,6,0,13,8
107,1,4,1,0,0,0
108,0,0,2,0,4,6
109,2,2,0,12,0,50
110,3,6,0,16,0,0
111,2,1,0,0,0,0
112,0,0,8,0,26,15
113,1,0,0,2,1,3
114,2,3,0,9,0,0
115,0,1,1,17,19,17
116,1,2,6,12,37,27
117,2,1,3,7,19,16
118,0,0,0,0,0,0
119,1,3,5,6,13,0
120,1,0,0,11,0,11
121,1,0,0,4,7,9
122,0,0,2,0,4,34
123,0,2,2,3,2,2
124,0,0,4,0,0,0
125,0,0,7,0,13,0
126,0,0,0,0,0,2
127,1,0,0,2,1,2
128,1,1,1,0,3,8
129,0,0,0,0,0,16
130,2,1,0,1,5,15
131,2,2,2,5,9,11
132,0,0,2,0,0,0
133,0,0,4,0,10,0
134,1,1,0,0,0,0
135,1,1,2,0,0,0
136,1,1,2,0,0,0
137,1,4,4,14,3,0
138,0,0,0,0,0,0
139,1,0,0,2,0,2
140,1,3,1,1,6,0
141,0,0,3,0,0,0
142,0,3,3,1,3,0
143,0,0,1,0,2,16
144,1,0,1,3,6,6
145,0,4,4,12,7,6
