,#gens,#Terms,min_deg,max_deg,av_deg,min_deg_of_X1,min_deg_of_X2,min_deg_of_X3,min_deg_of_X4,max_deg_of_X1,max_deg_of_X2,max_deg_of_X3,max_deg_of_X4,av_deg_of_X1,av_deg_of_X2,av_deg_of_X3,av_deg_of_X4,min_lt_deg_of_X1,min_lt_deg_of_X2,min_lt_deg_of_X3,min_lt_deg_of_X4,max_lt_deg_of_X1,max_lt_deg_of_X2,max_lt_deg_of_X3,max_lt_deg_of_X4,av_lt_deg_of_X1,av_lt_deg_of_X2,av_lt_deg_of_X3,av_lt_deg_of_X4,min_terms,max_terms,av_terms,generators_with_X1,generators_with_X2,generators_with_X3,generators_with_X4,generators_with_X1_X2,generators_with_X1_X3,generators_with_X1_X4,generators_with_X1_X3,generators_with_X2_X4,generators_with_X3_X4,generators_with_X1_X2_X3,generators_with_X1_X2_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X3,lt_with_X4,lt_with_X1_X2,lt_with_X1_X3,lt_with_X1_X4,lt_with_X1_X3,lt_with_X2_X4,lt_with_X3_X4,lt_with_X1_X2_X3,lt_with_X1_X2_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X3,terms_with_X4,terms_with_X1_X2,terms_with_X1_X3,terms_with_X1_X4,terms_with_X1_X3,terms_with_X2_X4,terms_with_X3_X4,terms_with_X1_X2_X3,terms_with_X1_X2_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,deg_sum(F),cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,#pure_var_power,#pure_var_power_lt,QS
0,2,10,3,6,4.5,3,3,1,1,4,5,1,3,3.5,4.0,1.0,2.0,2,0,0,0,3,3,1,0,2.5,1.5,0.5,0.0,4,6,5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,5,7,3,6,4,1,3,2,4,1,1,3,0,0,0,9,0,1,0,1,6,2,1,1,3,1,1
1,7,29,4,7,4.9,2,1,3,1,3,4,6,5,2.6,2.1,3.7,3.0,0,0,0,0,3,2,6,0,1.7,1.1,2.0,0.0,3,6,4.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,0,5,4,0,4,0,0,3,0,0,0,0,17,16,17,18,8,9,8,9,10,8,4,3,2,5,1,34,0,5,2,0,18,9,2,0,2,0,1
2,6,27,3,5,3.7,1,1,1,2,3,4,4,3,2.2,2.5,1.7,2.7,0,0,0,0,3,3,3,0,1.7,1.3,0.7,0.0,3,5,4.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,2,0,2,1,0,1,0,0,0,0,0,0,0,14,12,13,15,4,5,7,5,3,7,1,0,2,1,0,22,0,2,3,1,15,6,5,1,4,2,1
3,2,8,3,3,3.0,1,2,3,0,2,3,3,1,1.5,2.5,3.0,0.5,0,0,0,0,0,3,3,0,0.0,1.5,1.5,0.0,3,5,4.0,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,1,3,1,2,1,1,1,0,1,0,0,6,0,1,1,0,2,5,1,0,3,2,1
4,3,17,4,8,5.3,2,3,2,2,3,5,7,2,2.3,3.7,4.0,2.0,0,2,0,0,2,5,1,0,1.3,3.3,0.7,0.0,5,6,5.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,0,2,1,0,2,0,0,1,0,0,0,0,12,12,11,11,8,6,8,7,7,7,3,5,4,4,2,16,0,2,1,0,11,4,2,0,0,0,1
5,4,22,5,6,5.8,3,2,1,2,5,4,5,4,4.2,3.2,2.8,3.0,2,0,0,0,5,1,2,1,4.0,0.8,0.8,0.2,5,6,5.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,3,2,1,1,1,0,1,1,0,0,0,14,13,15,17,7,11,10,6,10,11,4,5,8,4,3,23,1,2,1,0,17,4,1,0,0,0,1
6,3,17,3,6,5.0,3,2,1,2,6,5,3,5,4.0,4.0,2.0,3.3,3,0,0,0,6,2,1,0,4.0,0.7,0.3,0.0,4,8,5.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,11,10,10,10,7,4,5,6,5,7,3,3,2,3,1,15,0,1,0,2,10,3,2,2,2,2,1
7,2,8,3,3,3.0,1,2,1,2,2,3,1,3,1.5,2.5,1.0,2.5,0,1,0,0,2,3,0,0,1.0,2.0,0.0,0.0,4,4,4.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,4,3,3,2,1,2,0,2,1,0,1,0,0,6,0,0,2,0,3,2,3,0,2,1,1
8,6,22,3,7,4.3,0,3,1,2,2,4,2,4,1.0,3.2,1.5,2.7,0,2,0,0,2,4,2,1,0.8,3.0,0.3,0.2,2,5,3.7,5,6,6,6,5,5,5,6,6,6,5,5,5,6,5,4,6,1,1,4,1,1,1,1,1,1,1,1,1,1,8,17,11,12,7,4,2,8,8,6,3,2,1,4,1,26,1,0,5,0,12,5,5,0,4,2,1
9,2,5,4,5,4.5,0,1,3,1,2,4,3,2,1.0,2.5,3.0,1.5,0,0,0,0,2,4,3,0,1.0,2.0,1.5,0.0,2,3,2.5,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,3,0,1,0,2,2,3,0,0,0,2,0,9,0,1,1,0,3,1,1,0,1,1,1
