,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,cls_1,cls_2,cls_3,cls_4,cls_of_lt_1,cls_of_lt_2,cls_of_lt_3,cls_of_lt_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,0,1,2,3,4,5
3949,4,20,3,5,4.2,4,6,5.0,17,2,1,0,2,2,2,3,5,4,3,1.5,3.5,2.5,2.8,0,1,0,0,0,5,2,0,0.0,3.0,1.2,0.0,16,3,1,0,0,3,1,0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,9,14,6,10,3,7,2,16,9,10,6,7,3,4,2,1,2,0,37,0,20
3404,3,13,3,5,3.7,4,5,4.3,11,4,1,1,2,0,2,2,3,3,5,1.7,2.7,1.3,3.3,0,1,0,0,2,3,3,0,0.7,2.0,1.0,0.0,8,2,3,0,0,1,2,0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,4,10,3,4,0,4,0,8,3,5,2,2,0,2,0,2,0,0,4,0,7
9033,3,7,3,4,3.7,2,3,2.3,11,0,0,1,2,0,1,3,2,1,2,2.0,2.0,0.7,1.3,1,1,0,0,3,1,1,1,2.0,1.0,0.3,0.3,5,0,2,0,1,0,2,0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,2,2,1,1,5,3,4,2,2,2,1,1,1,0,0,3,5,8
6575,4,21,3,5,3.8,3,9,5.2,15,2,1,2,1,2,1,3,3,4,3,2.2,2.0,2.5,2.0,0,0,0,0,2,3,4,0,1.0,1.2,1.5,0.0,11,8,2,0,0,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,9,12,3,13,6,7,2,11,4,4,0,5,2,1,0,2,2,0,9,0,5
2470,2,11,6,6,6.0,5,6,5.5,12,2,0,4,1,3,6,4,3,4,6,4.0,2.0,3.5,6.0,2,0,0,0,4,3,2,1,3.0,1.5,1.0,0.5,10,1,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,4,3,5,2,2,1,10,5,4,3,4,1,2,1,0,1,1,1,7,7
6598,5,15,3,6,3.8,2,4,3.0,19,4,2,2,0,1,0,3,3,4,6,2.4,1.4,2.0,2.2,0,0,0,0,3,3,4,1,2.0,0.6,1.0,0.2,8,4,1,2,1,2,0,2,5,3,3,5,5,3,3,4,4,2,2,4,4,2,2,4,1,0,2,2,0,0,1,0,1,0,0,0,0,0,11,4,2,7,6,0,0,8,5,3,2,3,2,0,0,0,0,0,0,0,12
7990,6,28,3,5,4.3,4,5,4.7,26,4,1,1,2,1,2,4,4,3,4,2.7,2.8,2.2,3.5,1,0,0,0,4,4,1,0,2.5,1.7,0.2,0.0,17,6,4,1,0,1,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,1,1,0,0,0,0,0,0,0,0,0,0,15,15,8,13,5,7,2,17,7,6,2,7,2,2,0,0,0,4,0,5,14
6947,5,22,4,6,4.8,3,6,4.4,24,1,1,2,3,1,1,4,4,4,5,2.8,3.6,2.4,2.6,0,0,0,0,4,4,2,0,1.8,1.8,1.2,0.0,10,9,2,1,0,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,1,2,0,0,0,0,0,0,0,0,0,12,13,5,14,7,7,2,10,5,5,2,5,3,1,1,0,0,3,0,4,11
7573,3,14,3,5,3.7,3,6,4.7,11,2,1,1,1,2,0,3,4,4,3,2.3,2.3,3.0,1.3,1,0,0,0,3,1,3,0,2.0,0.3,1.3,0.0,5,8,0,1,0,2,0,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,9,5,2,11,7,4,2,5,2,2,0,3,1,1,0,0,0,8,0,2,0
1225,2,9,4,5,4.5,4,5,4.5,9,1,0,1,2,2,2,2,2,4,5,1.5,2.0,3.0,3.5,1,0,2,0,2,0,4,0,1.5,0.0,3.0,0.0,6,3,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,4,2,6,3,3,1,6,3,3,2,3,1,2,1,0,3,3,2,3,0
