,#gens,#Terms,min_deg,max_deg,av_deg,min_terms,max_terms,av_terms,deg_sum(F),#pure_var_power,#pure_var_power_lt,min_deg_of_X_1,min_deg_of_X_2,min_deg_of_X_3,min_deg_of_X_4,max_deg_of_X_1,max_deg_of_X_2,max_deg_of_X_3,max_deg_of_X_4,av_deg_of_X_1,av_deg_of_X_2,av_deg_of_X_3,av_deg_of_X_4,min_lt_deg_of_X_1,min_lt_deg_of_X_2,min_lt_deg_of_X_3,min_lt_deg_of_X_4,max_lt_deg_of_X_1,max_lt_deg_of_X_2,max_lt_deg_of_X_3,max_lt_deg_of_X_4,av_lt_deg_of_X_1,av_lt_deg_of_X_2,av_lt_deg_of_X_3,av_lt_deg_of_X_4,generators_with_X1,generators_with_X2,generators_with_X1_X2,generators_with_X3,generators_with_X1_X3,generators_with_X2_X3,generators_with_X1_X2_X3,generators_with_X4,generators_with_X1_X4,generators_with_X2_X4,generators_with_X1_X2_X4,generators_with_X3_X4,generators_with_X1_X3_X4,generators_with_X2_X3_X4,generators_with_X1_X2_X3_X4,lt_with_X1,lt_with_X2,lt_with_X1_X2,lt_with_X3,lt_with_X1_X3,lt_with_X2_X3,lt_with_X1_X2_X3,lt_with_X4,lt_with_X1_X4,lt_with_X2_X4,lt_with_X1_X2_X4,lt_with_X3_X4,lt_with_X1_X3_X4,lt_with_X2_X3_X4,lt_with_X1_X2_X3_X4,terms_with_X1,terms_with_X2,terms_with_X1_X2,terms_with_X3,terms_with_X1_X3,terms_with_X2_X3,terms_with_X1_X2_X3,terms_with_X4,terms_with_X1_X4,terms_with_X2_X4,terms_with_X1_X2_X4,terms_with_X3_X4,terms_with_X1_X3_X4,terms_with_X2_X3_X4,terms_with_X1_X2_X3_X4,"[2,1]","[3,1]","[3,2]","[4,1]","[4,2]","[4,3]",output
2039,4,16,3,4,3.5,3,5,4.0,14,1,0,1,1,1,2,2,3,2,3,1.5,2.0,1.8,2.5,1,1,0,0,2,2,1,0,1.5,1.5,0.5,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,11,4,10,4,6,2,8,0,5,0,4,0,2,0,1,1,3,6,7,11,4
6161,4,12,4,7,5.2,2,4,3.0,21,1,1,1,1,1,3,3,5,4,5,2.0,3.0,2.2,3.8,0,0,0,0,3,5,4,1,1.0,2.2,1.8,0.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,3,2,2,1,1,0,1,0,1,0,1,0,5,7,3,9,4,4,2,8,2,5,2,6,1,3,1,1,2,0,34,0,24,2
3493,2,8,3,6,4.5,3,5,4.0,9,0,0,1,1,1,1,2,2,5,4,1.5,1.5,3.0,2.5,1,1,1,0,2,1,2,1,1.5,1.0,1.5,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,5,2,7,3,4,2,6,2,3,1,5,2,2,1,0,1,1,2,3,3,4
2907,3,12,3,4,3.7,3,5,4.0,11,2,1,2,1,1,2,4,4,2,2,3.0,2.3,1.3,2.0,2,0,0,0,4,1,0,1,3.0,0.3,0.0,0.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9,5,3,4,2,1,0,7,5,2,1,3,1,1,0,0,0,0,0,0,14,6
9891,2,8,4,4,4.0,4,4,4.0,8,1,0,0,2,3,1,1,3,4,2,0.5,2.5,3.5,1.5,0,2,1,0,1,3,1,0,0.5,2.5,1.0,0.0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,3,5,2,7,3,4,2,3,1,2,1,2,1,1,1,0,4,4,1,1,0,2
4887,4,14,3,7,5.0,3,4,3.5,20,2,1,1,1,0,1,4,3,6,5,2.5,2.0,2.5,3.0,1,0,0,0,4,2,6,0,2.5,0.8,1.8,0.0,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,2,2,2,2,1,1,0,0,0,0,0,0,0,0,9,10,7,7,3,5,2,8,4,6,4,4,1,3,1,0,0,2,0,23,5,5
7590,3,12,4,5,4.3,4,4,4.0,13,0,0,1,1,0,2,3,4,3,3,2.3,2.0,1.7,2.7,1,0,0,0,3,4,1,0,2.3,1.7,0.3,0.0,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,9,9,6,4,2,3,1,7,5,5,3,1,0,1,0,2,1,4,1,4,1,4
5660,4,14,3,5,4.2,3,4,3.5,17,0,0,0,2,1,1,4,3,4,3,1.8,2.2,2.0,2.5,0,0,1,0,2,2,4,0,1.0,1.5,1.8,0.0,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,2,4,3,3,2,0,0,0,0,0,0,0,0,8,9,4,7,4,5,3,10,5,6,2,3,1,2,1,0,2,2,24,11,6,4
8857,2,12,4,5,4.5,5,7,6.0,9,1,0,3,2,1,3,4,3,5,4,3.5,2.5,3.0,3.5,1,1,0,0,3,3,1,0,2.0,2.0,0.5,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,8,7,6,8,4,5,4,7,4,3,2,4,1,2,1,1,1,3,0,0,0,2
7508,6,24,3,6,4.5,2,6,4.0,27,1,1,1,0,1,1,5,5,2,3,3.0,2.3,1.8,2.3,0,0,0,0,5,5,1,1,2.7,1.3,0.2,0.3,6,5,5,6,6,5,5,6,6,5,5,6,6,5,5,5,4,3,1,1,1,1,2,2,0,0,0,0,0,0,19,12,9,14,10,6,4,16,12,6,4,10,6,4,2,3,2,0,3,0,21,4
